categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
mayusculas,VIH,VIH,boT2U1G,ID_Y_HEADER_EXISTEN,boT2U1G,VIH
empieza_con_mayuscula,Villadiego,Villadiego,bovJ8BA,ID_Y_HEADER_EXISTEN,bovJ8BA,Villadiego
empieza_con_mayuscula,Vulgata,Vulgata,c5a0whk,ID_Y_HEADER_EXISTEN,c5a0whk,Vulgata
contiene_espacios,Yom Kipur,Yom Kipur,cCw0d3F,ID_Y_HEADER_EXISTEN,cCw0d3F,Yom Kipur
otro,‒́foro,"‒́foro, ra",IGYaabT,ID_Y_HEADER_EXISTEN,IGYaabT,"‒́foro, ra"
otro,‒́fugo,"‒́fugo, ga",IZRzRfV,ID_Y_HEADER_EXISTEN,IZRzRfV,"‒́fugo, ga"
otro,‒́geno,"‒́geno, na",J56cPrf,ID_Y_HEADER_EXISTEN,J56cPrf,"‒́geno, na"
otro,‒́grado,‒́grado,JOysjvm,ID_Y_HEADER_EXISTEN,JOysjvm,‒́grado
otro,‒́grafo,"‒́grafo, fa",JQ5cr8q,ID_Y_HEADER_EXISTEN,JQ5cr8q,"‒́grafo, fa"
otro,‒́lisis,‒́lisis,NPxuR3s,ID_Y_HEADER_EXISTEN,NPxuR3s,‒́lisis
otro,‒́logo,"‒́logo, ga",NZTxcTa,ID_Y_HEADER_EXISTEN,NZTxcTa,"‒́logo, ga"
otro,‒́mano,"‒́mano, na",OFBUhWs,ID_Y_HEADER_EXISTEN,OFBUhWs,"‒́mano, na"
otro,‒́metro,‒́metro,P8UAjhT,ID_Y_HEADER_EXISTEN,P8UAjhT,‒́metro
otro,‒́paro,"‒́paro, ra",RxT2UDj,ID_Y_HEADER_EXISTEN,RxT2UDj,"‒́paro, ra"
otro,‒́pedo,"‒́pedo, da",SJFh2bH,ID_Y_HEADER_EXISTEN,SJFh2bH,"‒́pedo, da"
otro,‒́tico,"‒́tico, ca",ZibqWJB,ID_Y_HEADER_EXISTEN,ZibqWJB,"‒́tico, ca"
