categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
contiene_espacios,in partibus infidelium,in partibus infidelium,LiNkM3K,NINGUNO,,
contiene_espacios,in pectore,in pectore,LiQuOqq,NINGUNO,,
contiene_espacios,in perpetuum,in perpetuum,LiSD5dk,NINGUNO,,
contiene_espacios,in promptu,in promptu,LiUNB1A,NINGUNO,,
contiene_espacios,in púribus,in púribus,LiWqF0U,NINGUNO,,
contiene_espacios,in situ,in situ,LlJeGAq,NINGUNO,,
contiene_espacios,in solidum,in solidum,LlkrAN7,NINGUNO,,
contiene_espacios,in statu quo,in statu quo,LmnWpQn,NINGUNO,,
contiene_espacios,in terminis,in terminis,LvQSuA9,NINGUNO,,
contiene_espacios,in utroque,in utroque,M1Vgfq4,NINGUNO,,
contiene_espacios,in utroque iure,in utroque iure,M1Z3Y8h,NINGUNO,,
contiene_espacios,in utroque jure,in utroque jure,M1mvimL,NINGUNO,,
contiene_espacios,in vitro,in vitro,M4cX8vQ,NINGUNO,,
contiene_espacios,in vivo,in vivo,M4dN6uq,NINGUNO,,
contiene_espacios,in voce,in voce,M4i4erf,NINGUNO,,
